time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2019-09-09T00:00:00.000Z","LatLng(35.61, 139.78)","102.41127","/","2019-09-09T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-09-23T00:00:00.000Z","LatLng(35.61, 139.78)","137.35895","/","2019-09-23T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-10-07T00:00:00.000Z","LatLng(35.61, 139.78)","81.785385","/","2019-10-07T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-10-21T00:00:00.000Z","LatLng(35.61, 139.78)","235.25212","/","2019-10-21T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-11-04T00:00:00.000Z","LatLng(35.61, 139.78)","169.35728","/","2019-11-04T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-11-18T00:00:00.000Z","LatLng(35.61, 139.78)","140.6919","/","2019-11-18T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-12-02T00:00:00.000Z","LatLng(35.61, 139.78)","177.81908","/","2019-12-02T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-12-16T00:00:00.000Z","LatLng(35.61, 139.78)","155.05855","/","2019-12-16T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-12-30T00:00:00.000Z","LatLng(35.61, 139.78)","116.695885","/","2019-12-30T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-01-13T00:00:00.000Z","LatLng(35.61, 139.78)","197.86723","/","2020-01-13T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-01-27T00:00:00.000Z","LatLng(35.61, 139.78)","152.53569","/","2020-01-27T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-02-10T00:00:00.000Z","LatLng(35.61, 139.78)","187.84035","/","2020-02-10T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-02-24T00:00:00.000Z","LatLng(35.61, 139.78)","158.78682","/","2020-02-24T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-03-09T00:00:00.000Z","LatLng(35.61, 139.78)","140.5215","/","2020-03-09T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-03-23T00:00:00.000Z","LatLng(35.61, 139.78)","131.48373","/","2020-03-23T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-04-06T00:00:00.000Z","LatLng(35.61, 139.78)","107.709694","/","2020-04-06T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-04-20T00:00:00.000Z","LatLng(35.61, 139.78)","80.00494","/","2020-04-20T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-05-04T00:00:00.000Z","LatLng(35.61, 139.78)","110.66579","/","2020-05-04T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-05-18T00:00:00.000Z","LatLng(35.61, 139.78)","105.7596","/","2020-05-18T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-06-01T00:00:00.000Z","LatLng(35.61, 139.78)","83.61252","/","2020-06-01T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-06-15T00:00:00.000Z","LatLng(35.61, 139.78)","105.26453","/","2020-06-15T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-06-29T00:00:00.000Z","LatLng(35.61, 139.78)","66.34127","/","2020-06-29T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-07-13T00:00:00.000Z","LatLng(35.61, 139.78)","51.04806","/","2020-07-13T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-07-27T00:00:00.000Z","LatLng(35.61, 139.78)","88.5546","/","2020-07-27T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-08-10T00:00:00.000Z","LatLng(35.61, 139.78)","82.82003","/","2020-08-10T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-08-24T00:00:00.000Z","LatLng(35.61, 139.78)","72.75547","/","2020-08-24T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-09-07T00:00:00.000Z","LatLng(35.61, 139.78)","74.24202","/","2020-09-07T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-09-21T00:00:00.000Z","LatLng(35.61, 139.78)","125.21092","/","2020-09-21T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-10-05T00:00:00.000Z","LatLng(35.61, 139.78)","89.01325","/","2020-10-05T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-10-19T00:00:00.000Z","LatLng(35.61, 139.78)","114.40764","/","2020-10-19T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-11-02T00:00:00.000Z","LatLng(35.61, 139.78)","122.833496","/","2020-11-02T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
