time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2020-01-18T00:00:00.000Z","LatLng(35.55, 139.900001)","-60.31","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-01T00:00:00.000Z","LatLng(35.55, 139.900001)","97.69","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-08T00:00:00.000Z","LatLng(35.55, 139.900001)","-28.63","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-22T00:00:00.000Z","LatLng(35.55, 139.900001)","80.51","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-29T00:00:00.000Z","LatLng(35.55, 139.900001)","-24.68","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-03-07T00:00:00.000Z","LatLng(35.55, 139.900001)","-11.89","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-03-21T00:00:00.000Z","LatLng(35.55, 139.900001)","25.98","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-03-28T00:00:00.000Z","LatLng(35.55, 139.900001)","-6.99","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-04-04T00:00:00.000Z","LatLng(35.55, 139.900001)","-21.73","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-04-11T00:00:00.000Z","LatLng(35.55, 139.900001)","-3.39","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-04-18T00:00:00.000Z","LatLng(35.55, 139.900001)","53.78","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-05-02T00:00:00.000Z","LatLng(35.55, 139.900001)","-18.52","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-05-09T00:00:00.000Z","LatLng(35.55, 139.900001)","-53.89","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-05-16T00:00:00.000Z","LatLng(35.55, 139.900001)","-25.16","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-06-06T00:00:00.000Z","LatLng(35.55, 139.900001)","6.66","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-06-13T00:00:00.000Z","LatLng(35.55, 139.900001)","14.61","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-07-25T00:00:00.000Z","LatLng(35.55, 139.900001)","277.6","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-08-01T00:00:00.000Z","LatLng(35.55, 139.900001)","466.35","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-08-08T00:00:00.000Z","LatLng(35.55, 139.900001)","-6.71","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-08-15T00:00:00.000Z","LatLng(35.55, 139.900001)","36.22","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-08-29T00:00:00.000Z","LatLng(35.55, 139.900001)","47.63","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-10-03T00:00:00.000Z","LatLng(35.55, 139.900001)","-45.96","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-10-24T00:00:00.000Z","LatLng(35.55, 139.900001)","-9.85","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-10-31T00:00:00.000Z","LatLng(35.55, 139.900001)","-40.33","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-11-07T00:00:00.000Z","LatLng(35.55, 139.900001)","-29.18","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-11-14T00:00:00.000Z","LatLng(35.55, 139.900001)","6.36","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-11-21T00:00:00.000Z","LatLng(35.55, 139.900001)","-6.77","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-11-28T00:00:00.000Z","LatLng(35.55, 139.900001)","26.66","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-12-05T00:00:00.000Z","LatLng(35.55, 139.900001)","-22.32","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-12-12T00:00:00.000Z","LatLng(35.55, 139.900001)","30.28","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-12-19T00:00:00.000Z","LatLng(35.55, 139.900001)","18.67","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-12-26T00:00:00.000Z","LatLng(35.55, 139.900001)","-9.13","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-01-02T00:00:00.000Z","LatLng(35.55, 139.900001)","22.55","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-01-09T00:00:00.000Z","LatLng(35.55, 139.900001)","314.66","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-01-16T00:00:00.000Z","LatLng(35.55, 139.900001)","21.55","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-01-23T00:00:00.000Z","LatLng(35.55, 139.900001)","1.62","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-01-30T00:00:00.000Z","LatLng(35.55, 139.900001)","-33.87","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-02-06T00:00:00.000Z","LatLng(35.55, 139.900001)","17.96","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
