time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2020-01-18T00:00:00.000Z","LatLng(35.55, 139.9)","-57.37","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-01T00:00:00.000Z","LatLng(35.55, 139.9)","-46.31","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-08T00:00:00.000Z","LatLng(35.55, 139.9)","21.82","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-22T00:00:00.000Z","LatLng(35.55, 139.9)","-30.45","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-29T00:00:00.000Z","LatLng(35.55, 139.9)","103.08","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-03-07T00:00:00.000Z","LatLng(35.55, 139.9)","95.59","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-03-21T00:00:00.000Z","LatLng(35.55, 139.9)","29.02","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-03-28T00:00:00.000Z","LatLng(35.55, 139.9)","95.93","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-04-04T00:00:00.000Z","LatLng(35.55, 139.9)","20.87","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-04-11T00:00:00.000Z","LatLng(35.55, 139.9)","87.63","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-04-18T00:00:00.000Z","LatLng(35.55, 139.9)","-8.65","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-05-02T00:00:00.000Z","LatLng(35.55, 139.9)","-26.48","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-05-09T00:00:00.000Z","LatLng(35.55, 139.9)","-63.96","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-05-16T00:00:00.000Z","LatLng(35.55, 139.9)","68.18","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-06-06T00:00:00.000Z","LatLng(35.55, 139.9)","-25.35","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-06-13T00:00:00.000Z","LatLng(35.55, 139.9)","78.69","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-07-25T00:00:00.000Z","LatLng(35.55, 139.9)","0.61","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-08-01T00:00:00.000Z","LatLng(35.55, 139.9)","138.1","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-08-08T00:00:00.000Z","LatLng(35.55, 139.9)","-6.96","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-08-15T00:00:00.000Z","LatLng(35.55, 139.9)","-25.12","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-08-22T00:00:00.000Z","LatLng(35.55, 139.9)","-87.3","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-08-29T00:00:00.000Z","LatLng(35.55, 139.9)","38.85","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-10-03T00:00:00.000Z","LatLng(35.55, 139.9)","168.12","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-10-24T00:00:00.000Z","LatLng(35.55, 139.9)","-50.88","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-10-31T00:00:00.000Z","LatLng(35.55, 139.9)","-62.28","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-11-07T00:00:00.000Z","LatLng(35.55, 139.9)","4.35","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-11-14T00:00:00.000Z","LatLng(35.55, 139.9)","-37.24","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-11-21T00:00:00.000Z","LatLng(35.55, 139.9)","46.62","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-11-28T00:00:00.000Z","LatLng(35.55, 139.9)","-55.56","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-12-05T00:00:00.000Z","LatLng(35.55, 139.9)","14.03","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-12-12T00:00:00.000Z","LatLng(35.55, 139.9)","69.67","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-12-19T00:00:00.000Z","LatLng(35.55, 139.9)","79.63","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-12-26T00:00:00.000Z","LatLng(35.55, 139.9)","141.99","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-01-02T00:00:00.000Z","LatLng(35.55, 139.9)","21.55","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-01-09T00:00:00.000Z","LatLng(35.55, 139.9)","110.69","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-01-16T00:00:00.000Z","LatLng(35.55, 139.9)","9.79","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-01-23T00:00:00.000Z","LatLng(35.55, 139.9)","-34.9","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-01-30T00:00:00.000Z","LatLng(35.55, 139.9)","-3","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-02-06T00:00:00.000Z","LatLng(35.55, 139.9)","95.66","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-02-13T00:00:00.000Z","LatLng(35.55, 139.9)","38.41","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-02-20T00:00:00.000Z","LatLng(35.55, 139.9)","-43.59","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-02-27T00:00:00.000Z","LatLng(35.55, 139.9)","18.63","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-03-06T00:00:00.000Z","LatLng(35.55, 139.9)","83.74","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-03-13T00:00:00.000Z","LatLng(35.55, 139.9)","39.43","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-03-20T00:00:00.000Z","LatLng(35.55, 139.9)","129.56","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-03-27T00:00:00.000Z","LatLng(35.55, 139.9)","-3.88","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-04-03T00:00:00.000Z","LatLng(35.55, 139.9)","-10.21","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-04-10T00:00:00.000Z","LatLng(35.55, 139.9)","58.25","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-04-17T00:00:00.000Z","LatLng(35.55, 139.9)","58.26","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-04-24T00:00:00.000Z","LatLng(35.55, 139.9)","134.06","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-05-01T00:00:00.000Z","LatLng(35.55, 139.9)","50.83","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-05-08T00:00:00.000Z","LatLng(35.55, 139.9)","-32.19","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-05-29T00:00:00.000Z","LatLng(35.55, 139.9)","-33.31","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
