time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2019-12-07T00:00:00.000Z","LatLng(34.55, 135.150001)","-45.6","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-12-14T00:00:00.000Z","LatLng(34.55, 135.150001)","-14.09","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-12-21T00:00:00.000Z","LatLng(34.55, 135.150001)","-4.35","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-12-28T00:00:00.000Z","LatLng(34.55, 135.150001)","-22.97","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-01-04T00:00:00.000Z","LatLng(34.55, 135.150001)","-15.25","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-01-11T00:00:00.000Z","LatLng(34.55, 135.150001)","-42.84","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-01-18T00:00:00.000Z","LatLng(34.55, 135.150001)","136.08","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-01T00:00:00.000Z","LatLng(34.55, 135.150001)","-22.72","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-08T00:00:00.000Z","LatLng(34.55, 135.150001)","104.98","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-15T00:00:00.000Z","LatLng(34.55, 135.150001)","49.43","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-22T00:00:00.000Z","LatLng(34.55, 135.150001)","-29.3","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-29T00:00:00.000Z","LatLng(34.55, 135.150001)","-35.15","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-03-07T00:00:00.000Z","LatLng(34.55, 135.150001)","-44.24","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-03-14T00:00:00.000Z","LatLng(34.55, 135.150001)","16.9","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-03-21T00:00:00.000Z","LatLng(34.55, 135.150001)","-30.2","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-04-04T00:00:00.000Z","LatLng(34.55, 135.150001)","-42.78","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-04-11T00:00:00.000Z","LatLng(34.55, 135.150001)","77.76","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-04-18T00:00:00.000Z","LatLng(34.55, 135.150001)","-3.65","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-04-25T00:00:00.000Z","LatLng(34.55, 135.150001)","-16.3","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-05-02T00:00:00.000Z","LatLng(34.55, 135.150001)","-15.2","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-05-09T00:00:00.000Z","LatLng(34.55, 135.150001)","27.96","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-05-23T00:00:00.000Z","LatLng(34.55, 135.150001)","-9.09","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-05-30T00:00:00.000Z","LatLng(34.55, 135.150001)","-20.32","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-06-06T00:00:00.000Z","LatLng(34.55, 135.150001)","1.03","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-06-13T00:00:00.000Z","LatLng(34.55, 135.150001)","-39.71","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-06-20T00:00:00.000Z","LatLng(34.55, 135.150001)","-12.85","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-07-18T00:00:00.000Z","LatLng(34.55, 135.150001)","-25.41","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-08-01T00:00:00.000Z","LatLng(34.55, 135.150001)","-51.31","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-08-08T00:00:00.000Z","LatLng(34.55, 135.150001)","13.82","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-08-15T00:00:00.000Z","LatLng(34.55, 135.150001)","-18.44","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-08-22T00:00:00.000Z","LatLng(34.55, 135.150001)","80.24","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-08-29T00:00:00.000Z","LatLng(34.55, 135.150001)","-41.04","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-09-19T00:00:00.000Z","LatLng(34.55, 135.150001)","-13.74","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-10-03T00:00:00.000Z","LatLng(34.55, 135.150001)","-46.11","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-10-10T00:00:00.000Z","LatLng(34.55, 135.150001)","-34.97","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-10-17T00:00:00.000Z","LatLng(34.55, 135.150001)","-51.89","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-10-24T00:00:00.000Z","LatLng(34.55, 135.150001)","-46.2","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-10-31T00:00:00.000Z","LatLng(34.55, 135.150001)","-29.1","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-11-07T00:00:00.000Z","LatLng(34.55, 135.150001)","-38.96","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-11-14T00:00:00.000Z","LatLng(34.55, 135.150001)","16.13","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-11-21T00:00:00.000Z","LatLng(34.55, 135.150001)","-26.86","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-11-28T00:00:00.000Z","LatLng(34.55, 135.150001)","-4.69","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
